,Company,Sector,Climate_Transition_Score,Data_Coverage,Benchmark_Weight,Prior_Return,BL_Posterior_Return,Weight,Active_Weight,Dollar_Allocation
EW,Edwards Lifesciences Corp,Health Care,64.71819983270129,1.0000000000000002,0.0021141649048625794,0.0874491180867138,0.09153353737224999,0.0069359654107595545,0.004821800505896975,6935965.410759554
IQV,IQVIA Holdings Inc,Health Care,72.37556140129749,1.0000000000000002,0.0021141649048625794,0.11744458197091037,0.12159016442241238,0.006885913728778943,0.004771748823916363,6885913.728778943
MA,Mastercard Inc,Financials,73.15222250386056,1.0000000000000002,0.0021141649048625794,0.10604132399409011,0.110755693437535,0.0068817179725383865,0.004767553067675807,6881717.9725383865
EFX,Equifax Inc,Industrials,62.793845617901496,1.0000000000000002,0.0021141649048625794,0.10103352451047391,0.10507568823614118,0.006863425940084397,0.004749261035221818,6863425.940084397
HAS,Hasbro Inc,Consumer Discretionary,66.57454523003223,1.0000000000000002,0.0021141649048625794,0.10273820082409064,0.10562577053538591,0.006858017635778208,0.004743852730915628,6858017.635778208
ACN,Accenture PLC,Information Technology,68.24988015112697,1.0000000000000002,0.0021141649048625794,0.098913933808769,0.10508573522296467,0.0067944377038291716,0.004680272798966592,6794437.703829171
CDW,CDW Corp/DE,Information Technology,68.58060787291521,1.0000000000000002,0.0021141649048625794,0.11368304754641696,0.11834639948052443,0.0067298061668396554,0.004615641261977076,6729806.1668396555
PSKY,Paramount Skydance Corp,Communication Services,61.84920366383781,0.5,0.0021141649048625794,0.12048486757032366,0.1266904855930992,0.006690728870653107,0.004576563965790528,6690728.870653107
C,Citigroup Inc,Financials,81.62811986090455,0.8000000000000002,0.0021141649048625794,0.13565299776031486,0.1397491541266022,0.00668583107408607,0.004571666169223491,6685831.07408607
ZBH,Zimmer Biomet Holdings Inc,Health Care,59.89854853946847,1.0000000000000002,0.0021141649048625794,0.08888188850157218,0.09162192175673047,0.006625490516062496,0.004511325611199917,6625490.516062496
MSCI,MSCI Inc,Financials,63.98657712130685,1.0000000000000002,0.0021141649048625794,0.10645954683008274,0.1114070361525709,0.006527028415851447,0.004412863510988867,6527028.415851447
ROK,Rockwell Automation Inc,Industrials,74.40778503899469,1.0000000000000002,0.0021141649048625794,0.11798359854463582,0.11971178561299645,0.006512297290466001,0.0043981323856034215,6512297.290466001
HUM,Humana Inc,Health Care,68.79328742048011,1.0000000000000002,0.0021141649048625794,0.07363891896908153,0.0780241873446107,0.00649443904685647,0.004380274141993891,6494439.04685647
AIG,American International Group I,Financials,63.30798135221022,0.8000000000000002,0.0021141649048625794,0.1240868662088219,0.12824819554201322,0.006428832546263075,0.004314667641400496,6428832.546263075
ADSK,Autodesk Inc,Information Technology,86.04743117572286,1.0000000000000002,0.0021141649048625794,0.12042736724308735,0.12704177503715416,0.0064201201066254815,0.004305955201762902,6420120.1066254815
NKE,NIKE Inc,Consumer Discretionary,75.91667823155467,1.0000000000000002,0.0021141649048625794,0.1037958128131449,0.10768091298142775,0.006387548000050972,0.004273383095188392,6387548.000050972
EBAY,eBay Inc,Consumer Discretionary,61.5612034325037,1.0000000000000002,0.0021141649048625794,0.07583891211516636,0.07931678134717687,0.0063608401645847,0.004246675259722121,6360840.1645847
PEG,Public Service Enterprise Grou,Utilities,64.45519895859175,0.9200000000000002,0.0021141649048625794,0.06754136433784438,0.06677105147922066,0.006332873199741035,0.004218708294878455,6332873.199741035
TSN,Tyson Foods Inc,Consumer Staples,62.8540203057533,0.55,0.0021141649048625794,0.06513627320150277,0.06707835730847803,0.006311021525158779,0.0041968566202962,6311021.52515878
DECK,Deckers Outdoor Corp,Consumer Discretionary,62.912045155619694,1.0000000000000002,0.0021141649048625794,0.12272646244813999,0.12825978740681224,0.006248258923454656,0.004134094018592077,6248258.923454656
PH,Parker-Hannifin Corp,Industrials,63.60885936714956,1.0000000000000002,0.0021141649048625794,0.1362534238151005,0.137674219464451,0.0062333268280350745,0.004119161923172495,6233326.828035074
